date,patch,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,length,blue_gold,blue_kills,blue_towers,blue_dragons,blue_barons,blue_rift_heralds,red_gold,red_kills,red_towers,red_dragons,red_barons,red_rift_heralds
2021-04-07 09:21:00,11.6,Royal Never Give Up,FunPlus Phoenix,FunPlus Phoenix,"Twisted Fate,Nocturne,Renekton,Gragas,Nautilus","Hecarim,Thresh,Alistar,Kai'Sa,Azir","Gnar,Lillia,Viktor,Jinx,Rell","Jayce,Udyr,Orianna,Tristana,Rakan","Xiaohu,Wei (Yan Yang-Wei),Cryin,GALA,Ming (Shi Sen-Ming)","Nuguri,Tian,Doinb,Lwx,Crisp",29:54,49093,9,2,1,0,,58625,15,8,4,1,
2021-04-06 12:08:00,11.6,Suning,Top Esports,Top Esports,"Zoe,Ryze,Tahm Kench,Quinn,Jayce","Gnar,Thresh,Jinx,Nocturne,Renekton","Aatrox,Olaf,Seraphine,Kai'Sa,Rell","Gragas,Hecarim,Sylas,Tristana,Alistar","Bin (Chen Ze-Bin),SofM,Angel (Xiang Tao),huanfeng,ON","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo",30:31,52593,20,1,1,0,,59465,21,7,2,1,
2021-04-06 11:28:00,11.6,Top Esports,Suning,Top Esports,"Gnar,Nocturne,Jinx,Kassadin,Renekton","Zoe,Gragas,Thresh,Quinn,Orianna","Jayce,Hecarim,Ryze,Varus,Rell","Camille,Udyr,Sylas,Aphelios,Tahm Kench","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo","Bin (Chen Ze-Bin),SofM,Angel (Xiang Tao),huanfeng,ON",19:03,43063,23,9,1,0,,25978,4,0,0,0,
2021-04-06 10:26:00,11.6,Suning,Top Esports,Suning,"Tristana,Gragas,Zoe,Sylas,Quinn","Thresh,Gnar,Jinx,Seraphine,Twisted Fate","Renekton,Hecarim,Kassadin,Varus,Rell","Gangplank,Volibear,Orianna,Senna,Tahm Kench","Bin (Chen Ze-Bin),SofM,Angel (Xiang Tao),huanfeng,ON","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo",40:24,72170,20,10,1,0,,72257,18,5,5,1,
2021-04-06 09:21:00,11.6,Top Esports,Suning,Top Esports,"Nocturne,Gnar,Seraphine,Twisted Fate,Orianna","Tristana,Gragas,Udyr,Sion,Sylas","Quinn,Volibear,Zoe,Aphelios,Thresh","Renekton,Hecarim,Zilean,Jinx,Tahm Kench","369,Karsa,knight (Zhuo Ding),JackeyLove,Zhuo","Bin (Chen Ze-Bin),SofM,Angel (Xiang Tao),huanfeng,ON",43:36,76718,9,8,3,2,,68779,11,7,3,0,
2021-04-05 12:00:00,11.6,FunPlus Phoenix,JD Gaming,FunPlus Phoenix,"Graves,Nidalee,Udyr,Azir,Zoe","Akali,Rell,Nocturne,Nautilus,Orianna","Gnar,Hecarim,Viktor,Kai'Sa,Rakan","Gragas,Volibear,Sylas,Jinx,Thresh","Nuguri,Tian,Doinb,Lwx,Crisp","Zoom,Kanavi,Yagao,LokeN,LvMao",38:00,69923,15,9,2,1,,65427,13,5,4,1,
2021-04-05 11:04:00,11.6,JD Gaming,FunPlus Phoenix,JD Gaming,"Akali,Rell,Lillia,Gnar,Orianna","Hecarim,Udyr,Nocturne,Azir,Sion","Ornn,Graves,Zoe,Jinx,Thresh","Jayce,Volibear,Viktor,Senna,Tahm Kench","Zoom,Kanavi,Yagao,LokeN,LvMao","Nuguri,Tian,Doinb,Lwx,Crisp",34:35,69608,22,10,3,1,,61385,8,7,2,1,
2021-04-05 10:19:00,11.6,JD Gaming,FunPlus Phoenix,FunPlus Phoenix,"Akali,Rell,Lillia,Thresh,Alistar","Hecarim,Udyr,Nocturne,Tahm Kench,Bard","Renekton,Nidalee,Twisted Fate,Jinx,Gragas","Gnar,Volibear,Sylas,Tristana,Leona","Zoom,Kanavi,Yagao,LokeN,LvMao","Nuguri,Tian,Doinb,Lwx,Crisp",23:49,40282,5,3,0,0,,48557,18,9,3,1,
2021-04-05 09:20:00,11.6,JD Gaming,FunPlus Phoenix,FunPlus Phoenix,"Akali,Rell,Gnar,Jayce,Kennen","Hecarim,Udyr,Renekton,Twisted Fate,Azir","Sett,Lillia,Zoe,Jinx,Tahm Kench","Gangplank,Nocturne,Orianna,Aphelios,Thresh","Zoom,Kanavi,Yagao,LokeN,LvMao","Nuguri,Tian,Doinb,Lwx,Crisp",32:08,54914,12,2,2,0,,66005,22,9,3,2,
2021-04-04 22:50:00,11.5,TSM,100 Thieves,TSM,"Senna,Renekton,Gnar,Malphite,Alistar","Seraphine,Hecarim,Rell,Jinx,Kai'Sa","Nocturne,Udyr,Azir,Xayah,Rakan","Sion,Olaf,Orianna,Tristana,Sett","Huni,Spica,PowerOfEvil,Lost,SwordArt","Ssumday,Closer (Can Çelik),ry0ma,FBI,huhi",32:10,60146,14,9,2,1,1,52525,9,4,3,0,1
