match_id,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5399059931,BRONZE,I,11.15,1448,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5397657766,BRONZE,I,11.15,1484,EUW1,200.0,100.0,100.0,,,100.0,200.0
EUW1_5397623843,BRONZE,I,11.15,1677,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5397508621,BRONZE,I,11.15,1999,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5396549988,BRONZE,I,11.15,1875,EUW1,100.0,200.0,200.0,100.0,,100.0,200.0
EUW1_5396542819,BRONZE,I,11.15,2447,EUW1,200.0,200.0,100.0,200.0,200.0,100.0,200.0
EUW1_5394851243,BRONZE,I,11.15,1684,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5390730208,BRONZE,I,11.15,1980,EUW1,100.0,100.0,100.0,100.0,,100.0,
EUW1_5390676139,BRONZE,I,11.15,1268,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5390639521,BRONZE,I,11.15,1557,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5387909654,BRONZE,I,11.15,1860,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,200.0
EUW1_5383048046,BRONZE,I,11.15,2014,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5383043722,BRONZE,I,11.15,1333,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5381441999,BRONZE,I,11.15,2467,EUW1,100.0,100.0,100.0,200.0,100.0,100.0,100.0
EUW1_5379995074,BRONZE,I,11.15,1663,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5379679573,BRONZE,I,11.15,1592,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
EUW1_5376567392,BRONZE,I,11.14,2564,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5376528154,BRONZE,I,11.14,2125,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
EUW1_5376463130,BRONZE,I,11.14,2084,EUW1,200.0,200.0,200.0,200.0,,100.0,100.0
EUW1_5376305949,BRONZE,I,11.14,1733,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5376283322,BRONZE,I,11.14,1607,EUW1,200.0,100.0,100.0,,,100.0,100.0
EUW1_5376138670,BRONZE,I,11.14,1171,EUW1,100.0,100.0,100.0,,,100.0,
EUW1_5376171213,BRONZE,I,11.14,2446,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5373708491,BRONZE,I,11.14,1648,EUW1,200.0,200.0,200.0,200.0,,200.0,
EUW1_5373751498,BRONZE,I,11.14,1682,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5373607723,BRONZE,I,11.14,1314,EUW1,200.0,200.0,200.0,200.0,,200.0,100.0
EUW1_5372169588,BRONZE,I,11.14,1836,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,100.0
EUW1_5372155698,BRONZE,I,11.14,1287,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5372087158,BRONZE,I,11.14,1989,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5370350895,BRONZE,I,11.14,1492,EUW1,100.0,200.0,100.0,,,100.0,100.0
EUW1_5370198952,BRONZE,I,11.14,2362,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,200.0
EUW1_5370185449,BRONZE,I,11.14,1399,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5370180849,BRONZE,I,11.14,1817,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,200.0
EUW1_5154110447,BRONZE,I,11.5,1396,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5154135153,BRONZE,I,11.5,1885,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5154151230,BRONZE,I,11.5,1111,EUW1,100.0,100.0,100.0,,,100.0,200.0
EUW1_5153004622,BRONZE,I,11.5,1921,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,200.0
EUW1_5150972370,BRONZE,I,11.5,1927,EUW1,100.0,100.0,200.0,100.0,100.0,200.0,200.0
EUW1_5149069751,BRONZE,I,11.5,1639,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5149015775,BRONZE,I,11.5,1889,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5147630221,BRONZE,I,11.5,3266,EUW1,200.0,100.0,200.0,100.0,200.0,100.0,
EUW1_5145708617,BRONZE,I,11.5,2478,EUW1,200.0,100.0,200.0,100.0,100.0,200.0,200.0
EUW1_5145752543,BRONZE,I,11.5,1382,EUW1,200.0,100.0,200.0,200.0,,100.0,100.0
EUW1_5144362616,BRONZE,I,11.5,2300,EUW1,200.0,200.0,200.0,100.0,200.0,100.0,200.0
EUW1_5144269833,BRONZE,I,11.5,203,EUW1,200.0,200.0,,,,,
EUW1_5144116476,BRONZE,I,11.5,2160,EUW1,100.0,100.0,200.0,100.0,100.0,200.0,100.0
EUW1_5144112542,BRONZE,I,11.5,1098,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5143074829,BRONZE,I,11.5,1173,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5141242638,BRONZE,I,11.5,2080,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,200.0
EUW1_5141196933,BRONZE,I,11.5,1725,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,200.0
EUW1_5140639318,BRONZE,I,11.5,2129,EUW1,100.0,100.0,200.0,100.0,,100.0,200.0
EUW1_5139511078,BRONZE,I,11.5,1942,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5139435385,BRONZE,I,11.5,1599,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5139160253,BRONZE,I,11.5,3048,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,
EUW1_5139110076,BRONZE,I,11.5,1512,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5139008631,BRONZE,I,11.5,1170,EUW1,100.0,100.0,100.0,,,100.0,200.0
EUW1_5138717587,BRONZE,I,11.5,1381,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
EUW1_5138692722,BRONZE,I,11.5,1476,EUW1,100.0,100.0,100.0,100.0,,200.0,200.0
EUW1_5138565641,BRONZE,I,11.5,2389,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,
EUW1_5138478539,BRONZE,I,11.5,1763,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5137517103,BRONZE,I,11.5,2262,EUW1,100.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5137520572,BRONZE,I,11.5,1373,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5137254413,BRONZE,I,11.5,1406,EUW1,200.0,100.0,200.0,200.0,,100.0,100.0
EUW1_5124280539,BRONZE,I,11.4,1638,EUW1,100.0,100.0,100.0,100.0,,200.0,200.0
EUW1_5123891529,BRONZE,I,11.4,2326,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,
EUW1_5123735278,BRONZE,I,11.4,1509,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
EUW1_5116518609,BRONZE,I,11.4,1919,EUW1,100.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5102357997,BRONZE,I,11.3,1275,EUW1,100.0,100.0,100.0,,,100.0,200.0
EUW1_5366744989,BRONZE,I,11.14,2170,EUW1,100.0,100.0,100.0,200.0,100.0,100.0,100.0
EUW1_5366752846,BRONZE,I,11.14,2238,EUW1,200.0,200.0,100.0,200.0,100.0,100.0,100.0
EUW1_5366741786,BRONZE,I,11.14,1385,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5366701041,BRONZE,I,11.14,1350,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5363564255,BRONZE,I,11.14,1373,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
EUW1_5363553671,BRONZE,I,11.14,1576,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
EUW1_5363572612,BRONZE,I,11.14,1715,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5363571695,BRONZE,I,11.14,1850,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
EUW1_5363540748,BRONZE,I,11.14,2360,EUW1,200.0,100.0,200.0,200.0,100.0,200.0,200.0
EUW1_5363468751,BRONZE,I,11.14,1283,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5251395069,BRONZE,I,11.9,1445,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
EUW1_5251119748,BRONZE,I,11.9,1843,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
EUW1_5251171919,BRONZE,I,11.9,1867,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,200.0
EUW1_5249706631,BRONZE,I,11.9,2056,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,100.0
EUW1_5249578845,BRONZE,I,11.9,1930,EUW1,200.0,100.0,100.0,200.0,200.0,100.0,100.0
EUW1_5245620507,BRONZE,I,11.9,2640,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
EUW1_5245413945,BRONZE,I,11.9,1285,EUW1,100.0,100.0,100.0,,,100.0,100.0
EUW1_5245297662,BRONZE,I,11.9,1808,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5245301481,BRONZE,I,11.9,1145,EUW1,100.0,100.0,100.0,,,100.0,200.0
EUW1_5244024804,BRONZE,I,11.9,1601,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5244003544,BRONZE,I,11.9,2288,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,100.0
EUW1_5243895120,BRONZE,I,11.9,2126,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,100.0
EUW1_5243729255,BRONZE,I,11.9,1643,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,100.0
EUW1_5237163942,BRONZE,I,11.9,2764,EUW1,100.0,100.0,200.0,200.0,200.0,200.0,200.0
EUW1_5237056196,BRONZE,I,11.9,2419,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,100.0
EUW1_5237020342,BRONZE,I,11.9,1806,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
EUW1_5236941625,BRONZE,I,11.9,2684,EUW1,100.0,200.0,100.0,200.0,200.0,200.0,
EUW1_5236916555,BRONZE,I,11.9,1677,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,100.0
EUW1_5236881299,BRONZE,I,11.9,2213,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
EUW1_5236734286,BRONZE,I,11.9,3275,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5235813613,BRONZE,I,11.8,1336,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
