match_id,count,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5165170198,3598,BRONZE,I,11.6,1604,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5165055034,3599,BRONZE,I,11.6,1259,EUW1,200.0,200.0,100.0,,,200.0,100.0
EUW1_5164937657,3600,BRONZE,I,11.6,1946,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,
EUW1_5162604916,3601,BRONZE,I,11.6,2192,EUW1,200.0,200.0,100.0,200.0,200.0,100.0,200.0
EUW1_5162485395,3602,BRONZE,I,11.6,1672,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
EUW1_5162325891,3603,BRONZE,I,11.6,1758,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,100.0
EUW1_5150922247,3604,BRONZE,I,11.5,1235,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5150716488,3605,BRONZE,I,11.5,1297,EUW1,200.0,200.0,200.0,,,200.0,200.0
EUW1_5143716333,3606,BRONZE,I,11.5,1511,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5143741012,3607,BRONZE,I,11.5,2062,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_5138920821,3608,BRONZE,I,11.5,2012,EUW1,200.0,200.0,200.0,200.0,100.0,100.0,
EUW1_5137149346,3609,BRONZE,I,11.5,2343,EUW1,100.0,100.0,200.0,100.0,200.0,200.0,200.0
EUW1_5137058657,3610,BRONZE,I,11.5,1643,EUW1,200.0,200.0,100.0,,200.0,100.0,100.0
EUW1_5135549991,3611,BRONZE,I,11.5,1511,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
EUW1_5135560964,3612,BRONZE,I,11.5,1613,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5135440703,3613,BRONZE,I,11.5,1949,EUW1,100.0,200.0,100.0,100.0,200.0,200.0,100.0
EUW1_5134110128,3614,BRONZE,I,11.5,2170,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5134028553,3615,BRONZE,I,11.5,1225,EUW1,100.0,100.0,100.0,,,100.0,200.0
EUW1_5134084907,3616,BRONZE,I,11.5,1525,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5125743056,3617,BRONZE,I,11.4,1553,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5124661974,3618,BRONZE,I,11.4,1198,EUW1,100.0,100.0,100.0,,,200.0,100.0
EUW1_5124614861,3619,BRONZE,I,11.4,1802,EUW1,200.0,200.0,100.0,,200.0,200.0,200.0
EUW1_5121872232,3620,BRONZE,I,11.4,1808,EUW1,200.0,100.0,100.0,200.0,100.0,200.0,100.0
EUW1_5108056756,3621,BRONZE,I,11.4,2048,EUW1,100.0,100.0,200.0,100.0,200.0,200.0,200.0
EUW1_5107208384,3622,BRONZE,I,11.4,1899,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,
EUW1_5227529762,3623,BRONZE,I,11.8,1710,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
EUW1_5227427727,3624,BRONZE,I,11.8,1498,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5227531481,3625,BRONZE,I,11.8,1574,EUW1,200.0,100.0,200.0,200.0,,100.0,100.0
EUW1_5227317519,3626,BRONZE,I,11.8,1680,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,200.0
EUW1_5214077068,3627,BRONZE,I,11.8,1900,EUW1,100.0,200.0,200.0,100.0,200.0,100.0,200.0
EUW1_5214038448,3628,BRONZE,I,11.8,2792,EUW1,200.0,200.0,200.0,200.0,100.0,200.0,100.0
EUW1_5200417009,3629,BRONZE,I,11.7,2218,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
