match_id,patch,game_duration,region,winning_team,first_champion,first_towerfirst_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5534561288,11.21,1313,EUW1,100,100,200,,,200,100
EUW1_5534509221,11.21,1625,EUW1,100,100,100,100,100,200,100
EUW1_5534495198,11.21,1406,EUW1,200,200,200,200,,200,200
EUW1_5534454082,11.21,1221,EUW1,200,100,200,200,,200,200
EUW1_5534451030,11.21,1445,EUW1,100,200,100,100,100,200,100
EUW1_5534365617,11.21,1869,EUW1,200,100,100,200,200,200,100
EUW1_5533877029,11.21,947,EUW1,200,200,200,,,200,200
EUW1_5533801488,11.21,1687,EUW1,100,200,200,,100,200,200
EUW1_5533596281,11.21,1473,EUW1,100,100,100,100,100,200,100
EUW1_5533499510,11.21,1816,EUW1,100,200,200,100,100,100,200
EUW1_5533513583,11.21,1452,EUW1,100,200,100,,100,200,100
EUW1_5533388764,11.21,1742,EUW1,100,200,100,100,100,100,100
EUW1_5533393183,11.21,1636,EUW1,200,200,200,200,200,200,100
EUW1_5533297379,11.21,1324,EUW1,100,100,100,100,,100,200
EUW1_5533260293,11.21,1740,EUW1,200,100,200,200,100,200,200
EUW1_5533188310,11.21,1181,EUW1,200,200,200,200,,200,200
EUW1_5533221853,11.21,2010,EUW1,100,200,100,100,100,100,100
EUW1_5533126686,11.21,1862,EUW1,200,200,100,200,200,200,100
EUW1_5533101825,11.21,1127,EUW1,100,100,100,100,,100,100
EUW1_5532998217,11.21,1771,EUW1,100,200,100,100,100,100,100
EUW1_5533042078,11.21,2244,EUW1,200,200,200,100,100,200,100
EUW1_5532961559,11.21,1120,EUW1,100,100,100,,,200,100
EUW1_5532945721,11.21,2015,EUW1,200,200,100,200,200,200,100
EUW1_5532875044,11.21,1405,EUW1,100,200,100,100,100,100,100
EUW1_5532760131,11.21,1831,EUW1,100,100,200,100,100,200,200
EUW1_5532217852,11.21,1338,EUW1,100,100,100,,100,200,100
EUW1_5532201419,11.21,1230,EUW1,100,100,100,100,,100,100
EUW1_5532085533,11.21,1991,EUW1,200,100,200,200,200,200,100
EUW1_5532049495,11.21,1192,EUW1,100,100,100,100,,100,100
EUW1_5531958661,11.21,1350,EUW1,200,100,200,,,200,100
EUW1_5531943946,11.21,1672,EUW1,200,200,200,200,200,200,200
EUW1_5530553057,11.21,1186,EUW1,200,200,200,,,200,200
EUW1_5530437775,11.21,1450,EUW1,200,200,200,200,200,100,200
EUW1_5530491773,11.21,1078,EUW1,200,200,200,200,,200,200
EUW1_5529247828,11.21,1831,EUW1,100,100,200,100,200,200,100
EUW1_5529199573,11.21,1835,EUW1,100,100,200,100,100,100,200
EUW1_5528911512,11.21,1544,EUW1,200,200,200,200,200,200,200
EUW1_5528864990,11.21,1760,EUW1,200,100,200,200,200,200,200
EUW1_5528788057,11.21,1843,EUW1,100,200,100,100,100,100,100
EUW1_5528713007,11.21,2108,EUW1,200,200,100,200,100,200,100
EUW1_5524551988,11.21,1454,EUW1,100,200,100,,,100,100
EUW1_5524393540,11.21,1452,EUW1,200,200,200,200,200,100,200
EUW1_5524334877,11.21,2498,EUW1,200,200,200,200,100,100,200
EUW1_5518393031,11.21,1075,EUW1,200,200,200,200,,200,200
EUW1_5516747881,11.21,1685,EUW1,200,200,200,200,200,100,200
EUW1_5516712916,11.21,1610,EUW1,100,100,100,100,,100,200
EUW1_5516693666,11.21,1343,EUW1,100,200,100,100,100,100,100
EUW1_5516549291,11.21,1396,EUW1,200,100,200,,200,100,200
EUW1_5516594218,11.21,1563,EUW1,100,200,100,100,100,100,100
EUW1_5516501546,11.21,1210,EUW1,100,100,100,,,100,200
EUW1_5534051596,11.21,1840,EUW1,100,200,100,100,100,200,100
EUW1_5533923830,11.21,1418,EUW1,100,200,100,,100,200,100
EUW1_5533629981,11.21,1120,EUW1,200,200,200,,,200,100
EUW1_5533713944,11.21,1214,EUW1,100,100,100,100,,100,100
EUW1_5533467711,11.21,2424,EUW1,200,200,100,100,100,200,100
EUW1_5531908093,11.21,1672,EUW1,100,200,100,100,100,100,100
EUW1_5531932706,11.21,1260,EUW1,100,200,200,,,200,200
EUW1_5531834442,11.21,1956,EUW1,100,200,100,100,200,200,100
EUW1_5531605790,11.21,1432,EUW1,100,200,200,,100,100,100
EUW1_5531590898,11.21,1647,EUW1,200,200,200,,200,200,200
EUW1_5531526519,11.21,1471,EUW1,200,100,200,200,200,200,200
EUW1_5529989205,11.21,1914,EUW1,100,100,200,100,100,200,200
EUW1_5529927403,11.21,1493,EUW1,200,100,200,200,200,200,200
EUW1_5529904119,11.21,1430,EUW1,200,100,200,200,200,200,100
EUW1_5529805224,11.21,1497,EUW1,200,200,200,200,200,100,200
EUW1_5529095496,11.21,1482,EUW1,100,100,100,100,100,100,100
EUW1_5529031409,11.21,2012,EUW1,100,200,100,100,100,200,100
EUW1_5528955741,11.21,1932,EUW1,200,100,200,200,200,200,100
EUW1_5528922283,11.21,1752,EUW1,100,200,200,100,100,200,100
EUW1_5527408967,11.21,2170,EUW1,200,100,200,200,200,100,200
EUW1_5527354998,11.21,980,EUW1,100,100,100,100,,100,100
EUW1_5527337918,11.21,1654,EUW1,100,100,100,100,100,200,100
EUW1_5527313525,11.21,1510,EUW1,200,100,100,200,200,100,100
EUW1_5527179180,11.21,1796,EUW1,100,100,200,100,100,100,100
EUW1_5526196669,11.21,2012,EUW1,200,100,200,200,200,100,200
EUW1_5534721190,11.21,1871,EUW1,200,100,200,200,200,200,200
EUW1_5527781206,11.21,1520,EUW1,200,100,200,200,200,200,200
EUW1_5527725715,11.21,1562,EUW1,200,100,200,200,200,100,200
EUW1_5526996037,11.21,1789,EUW1,200,200,100,200,200,100,100
EUW1_5526882521,11.21,1742,EUW1,200,100,200,200,200,100,200
EUW1_5526809539,11.21,1633,EUW1,100,100,100,100,200,200,100
EUW1_5526769790,11.21,191,EUW1,100,100,,,,,
EUW1_5526806571,11.21,1234,EUW1,100,200,100,100,,200,
EUW1_5526753938,11.21,1945,EUW1,100,200,100,100,100,200,100
EUW1_5524175080,11.21,1775,EUW1,100,100,100,100,100,200,200
