tier,division,match_id,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
BRONZE,II,EUW1_5300446133,11.11,1719938,EUW1,100.0,100.0,100.0,100.0,,100.0,200.0
BRONZE,II,EUW1_5271166502,11.1,1580330,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5260853640,11.9,2243145,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5240406684,11.9,1291203,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5240483387,11.9,967464,EUW1,100.0,100.0,100.0,,,100.0,100.0
BRONZE,II,EUW1_5239021759,11.9,1990132,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5238404588,11.9,1653922,EUW1,200.0,100.0,200.0,100.0,200.0,200.0,
BRONZE,II,EUW1_5235474867,11.8,1804358,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5235179620,11.8,1690758,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5366017473,11.14,1408368,EUW1,100.0,100.0,100.0,,,100.0,100.0
BRONZE,II,EUW1_5350194868,11.13,920621,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5347088795,11.13,1528653,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5264464723,11.1,1651840,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5260747770,11.9,1592962,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5260841103,11.9,961475,EUW1,100.0,100.0,100.0,,,100.0,100.0
BRONZE,II,EUW1_5259160258,11.9,1182297,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5255318968,11.9,1605459,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
BRONZE,II,EUW1_5235534415,11.8,1671906,EUW1,100.0,200.0,100.0,100.0,,100.0,
BRONZE,II,EUW1_5235487882,11.8,1258746,EUW1,200.0,100.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5233891666,11.8,1261385,EUW1,200.0,100.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5233753048,11.8,1744994,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5232145359,11.8,1466015,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5232015380,11.8,2236342,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5231808964,11.8,1651799,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5230296236,11.8,981405,EUW1,100.0,100.0,100.0,,,100.0,100.0
BRONZE,II,EUW1_5230179770,11.8,2703220,EUW1,100.0,100.0,200.0,100.0,200.0,100.0,200.0
BRONZE,II,EUW1_5230096609,11.8,1443280,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,TR1_1171341838,11.8,1231693,TR1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,TR1_1170994263,11.8,1953583,TR1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,TR1_1171000025,11.8,1201367,TR1,200.0,200.0,200.0,200.0,,200.0,
BRONZE,II,TR1_1170954922,11.8,2563409,TR1,200.0,200.0,100.0,200.0,200.0,100.0,200.0
BRONZE,II,TR1_1170888169,11.8,2256575,TR1,200.0,100.0,100.0,100.0,200.0,200.0,200.0
BRONZE,II,TR1_1170885542,11.8,1202684,TR1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,TR1_1170784285,11.8,2082071,TR1,100.0,200.0,100.0,100.0,200.0,200.0,200.0
BRONZE,II,EUW1_5402325171,11.15,1802695,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5399598680,11.15,2027336,EUW1,200.0,200.0,100.0,200.0,100.0,200.0,100.0
BRONZE,II,EUW1_5390799817,11.15,3014835,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5390802949,11.15,1552566,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5389208794,11.15,219074,EUW1,200.0,200.0,,,,,
BRONZE,II,EUW1_5389192509,11.15,1831971,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5389167807,11.15,1075829,EUW1,200.0,200.0,200.0,,,200.0,200.0
BRONZE,II,EUW1_5389116105,11.15,219677,EUW1,100.0,,,,,,
BRONZE,II,EUW1_5388700081,11.15,1506760,EUW1,200.0,200.0,200.0,,,200.0,200.0
BRONZE,II,EUW1_5388677057,11.15,2209718,EUW1,200.0,200.0,100.0,100.0,200.0,100.0,200.0
BRONZE,II,EUW1_5359371435,11.14,1051411,EUW1,100.0,100.0,100.0,,,100.0,100.0
BRONZE,II,EUW1_5359307361,11.14,1540482,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5358522363,11.14,2783928,EUW1,200.0,200.0,200.0,200.0,100.0,100.0,200.0
BRONZE,II,EUW1_5358026349,11.14,1718291,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5289443325,11.11,2606586,EUW1,100.0,200.0,200.0,200.0,100.0,100.0,100.0
BRONZE,II,EUW1_5289409237,11.11,1307104,EUW1,100.0,100.0,100.0,,,100.0,200.0
BRONZE,II,EUW1_5227825727,11.8,1996651,EUW1,100.0,100.0,200.0,100.0,,200.0,200.0
BRONZE,II,EUW1_5227820967,11.8,1353564,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5217459345,11.8,1417470,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5210880315,11.8,1989581,EUW1,200.0,200.0,100.0,100.0,200.0,200.0,200.0
BRONZE,II,EUW1_5210769974,11.8,1418126,EUW1,200.0,200.0,200.0,,,200.0,200.0
BRONZE,II,EUW1_5197711487,11.7,2393782,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5195874596,11.7,1791040,EUW1,200.0,200.0,100.0,100.0,200.0,200.0,200.0
BRONZE,II,EUW1_5193348888,11.7,2041322,EUW1,200.0,100.0,200.0,200.0,,100.0,
BRONZE,II,EUW1_5192135561,11.7,2038932,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5424853120,11.16,1300062,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5424820928,11.16,952053,EUW1,100.0,100.0,100.0,,,100.0,100.0
BRONZE,II,EUW1_5312227875,11.11,1887471,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,200.0
BRONZE,II,EUW1_5304050781,11.11,2030678,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5093452130,11.3,1109082,EUW1,100.0,100.0,100.0,100.0,,100.0,
