,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
9232,BRONZE,1979,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1,2605,-5,3540,-2,-4,0,1,-1
17871,BRONZE,1131,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2,508,-13,2397,0,0,0,1,1
8518,BRONZE,1750,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1,-1636,22,4420,0,2,0,1,0
18993,BRONZE,1874,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-9,-6999,-50,-7069,0,5,0,-1,-1
4931,BRONZE,1578,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2,-24,-43,-1742,0,3,0,-1,0
477,BRONZE,1992,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0,201,9,1173,0,-1,0,-1,0
4368,BRONZE,2318,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-5,-3472,-23,-6746,0,3,0,0,0
30840,BRONZE,1717,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1,-1526,-65,-4852,0,-2,0,0,1
3778,BRONZE,1691,-1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,-2,-2283,-116,-6969,0,3,0,0,1
2157,BRONZE,2734,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0,867,32,6135,0,-1,0,2,0
7505,BRONZE,2113,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,7,2378,75,1994,0,-4,0,0,1
1396,BRONZE,1956,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,9,2231,35,-1405,0,-3,0,1,1
24500,BRONZE,2160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,8113,139,13641,-2,-9,0,1,0
10821,BRONZE,1397,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,10,6277,68,10326,-1,-8,0,2,0
13083,BRONZE,3232,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,109,53,1757,-1,-3,0,1,1
16795,BRONZE,1532,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,6,5086,130,5026,0,-6,0,-2,-1
10751,BRONZE,2095,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1567,-63,9534,0,0,0,1,0
2806,BRONZE,2290,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-5,-2835,-33,-5525,0,3,0,-1,-1
4722,BRONZE,1832,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-5,-6416,-26,-2097,2,9,0,-1,-1
6457,BRONZE,1764,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-12,-3884,9,-6290,1,3,0,-1,0
5743,BRONZE,2420,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-8,-3159,-26,-2334,0,3,0,-1,1
6177,BRONZE,1287,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8,4432,0,6152,0,-1,0,1,1
2432,BRONZE,2326,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-6,-2324,-26,-5979,-1,1,0,-2,0
12129,BRONZE,2029,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,5,1947,-12,199,0,0,0,-2,1
5802,BRONZE,1661,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,2,1944,30,-2259,0,-2,0,2,1
10815,BRONZE,1851,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,4,2896,52,2979,0,0,0,-2,1
15545,BRONZE,2688,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-6,-4684,25,-9566,3,1,0,1,-1
12231,BRONZE,1297,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,11,5890,5,2918,0,-4,0,1,-1
1078,BRONZE,1324,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,3,3597,60,5314,-1,-4,0,-1,-1
7314,BRONZE,1940,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,9,2336,-4,1769,2,1,0,2,-1
3224,BRONZE,1435,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-10,-12361,-200,-8903,2,11,0,-1,-1
1789,BRONZE,1906,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0,1126,75,3141,0,4,0,1,-1
8083,BRONZE,1732,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-2470,-22,-4447,2,5,0,1,0
8185,BRONZE,1233,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-15,-8446,-56,-14892,2,11,0,-1,-1
3057,BRONZE,1771,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1,2116,28,5787,-1,-7,0,0,0
15797,BRONZE,1866,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-7,-2804,13,-2056,0,0,0,1,-1
191,BRONZE,2331,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-4,-2886,-19,681,1,2,0,1,-1
22119,BRONZE,1752,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1,3052,62,4034,0,-1,0,-2,0
3154,BRONZE,1008,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-11,-6424,-86,-9072,0,6,0,-1,0
5961,BRONZE,2286,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,4,-1010,-2,-553,2,3,0,0,-1
4317,BRONZE,2482,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,3,804,-20,-3906,0,1,0,-2,-1
3640,BRONZE,1493,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-3,-5099,-58,-5733,1,5,0,-2,-1
10172,BRONZE,1820,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,7,20,-83,3931,0,6,0,1,-1
1728,BRONZE,1803,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,10,1017,-24,3448,1,5,0,-1,0
6915,BRONZE,2277,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,5712,50,5803,-2,-13,0,2,0
5010,BRONZE,1870,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,5,647,-25,4577,0,-4,0,-1,1
7292,BRONZE,1783,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2,-1225,-39,-7507,0,5,0,2,-1
3222,BRONZE,2192,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,6,3945,36,3553,0,-6,0,1,1
9031,BRONZE,1347,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-3,-876,-53,-4185,0,0,0,0,1
32572,BRONZE,1395,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-7,-7757,-61,1511,1,6,0,-1,-1
1527,BRONZE,1673,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-9,-3812,-6,-5922,0,3,0,0,1
9691,BRONZE,2422,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-7,-6163,-62,-2445,1,9,0,1,-1
2502,BRONZE,2039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2570,17,-2112,0,-5,0,2,1
12794,BRONZE,1936,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,2,2877,6,5394,-1,-5,0,-1,1
5568,BRONZE,2494,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-6,-2944,-32,-2632,1,-1,0,-1,-1
33968,BRONZE,2118,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,6,1197,-34,-2894,0,-1,0,-1,0
6793,BRONZE,2428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,4,1346,-23,4262,0,-5,0,-1,1
10897,BRONZE,943,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-7,-7494,-62,-20133,1,6,0,-1,1
4805,BRONZE,1614,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-2,-1542,-23,110,0,0,0,-1,-1
7913,BRONZE,2629,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-5,-179,-16,-1070,1,1,0,0,1
5221,BRONZE,2251,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,8,1613,8,4086,0,-1,0,1,0
7045,BRONZE,2162,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0,-844,36,-2696,0,0,0,-2,0
9631,BRONZE,2498,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1475,32,3821,0,-2,0,1,1
2507,BRONZE,1494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-11,-8054,-23,-6038,1,7,0,-1,-1
3842,BRONZE,2891,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1,885,17,-957,0,-3,0,-1,-1
598,BRONZE,2172,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-8,-2455,-6,4402,0,0,0,0,1
14696,BRONZE,1263,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-12,-8310,-84,-7493,1,8,0,1,1
1312,BRONZE,1713,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,14,6504,53,12150,0,-6,0,-1,0
1439,BRONZE,2083,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,-1,1139,88,1924,0,-4,0,-1,0
5333,BRONZE,1637,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-2961,-22,-2749,0,-1,0,2,-1
11117,BRONZE,1846,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,12,5786,128,12802,0,-6,0,2,0
7575,BRONZE,1777,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1,-1807,-36,255,0,-2,0,1,1
