,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
25321,GRANDMASTERS,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,6,4549,67,-886,1,-6,0,3,-1,1
19489,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-2,4668,111,5662,3,4,0,1,1,0
15072,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-2,5899,195,2742,5,4,0,3,0,0
15348,GRANDMASTERS,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,12,7555,119,8861,4,4,0,-1,0,-1
12328,GRANDMASTERS,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,5,1538,-75,-2854,-2,9,0,1,-2,1
13071,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-7,2580,70,-6234,5,3,0,-1,2,1
16656,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-5,-3530,64,5269,-3,-4,0,3,-2,0
26002,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,12107,-38,21581,6,0,1,3,1,1
19140,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-9,-12367,-32,-1402,-2,2,0,0,-2,-1
24042,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-8,-8105,-21,-24172,-3,1,-1,-1,-1,-1
25858,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,19,12114,125,7157,8,12,1,1,0,1
16093,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-8,-4781,-64,-10018,0,-5,0,-1,2,0
21570,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-7,-1840,24,-16389,-4,-4,0,-3,2,0
25648,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,4418,69,11086,1,1,0,1,1,1
22099,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-3,-8769,-90,-12387,-2,-5,-1,0,1,-1
24172,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-24,-10805,-33,-33189,-6,-5,-2,-3,1,0
24903,GRANDMASTERS,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-2,-259,60,26830,6,5,1,-1,2,0
22089,GRANDMASTERS,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,5,5819,47,-1697,0,4,0,2,-2,0
19456,GRANDMASTERS,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2,2798,-6,16556,-1,1,0,-3,-2,0
20619,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,15,12935,92,6327,9,7,2,-3,1,1
23270,GRANDMASTERS,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,6,8167,83,6080,4,9,0,1,2,0
23067,GRANDMASTERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4925,40,8884,1,2,0,3,1,0
13947,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4,-517,38,-602,-3,-3,0,-1,-2,0
15706,GRANDMASTERS,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,8,5438,-24,13828,1,0,0,-1,0,-1
