,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
1156,BRONZE,1712,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,-1,0,1,-1
7520,BRONZE,1923,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1,1,-1,-1,-1,-1,0,-1,1
725,BRONZE,1957,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,-1,0
5988,BRONZE,1681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,0,-1,0,1,1
9291,BRONZE,2636,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,0,1,0,1,-1
5323,BRONZE,1755,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1,-1,-1,-1,0,1,0,-1,0
14676,BRONZE,1454,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,-1,1
13404,BRONZE,2537,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1,1,1,-1,0,-1,0,1,1
32462,BRONZE,1661,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,1,1,1,1,0,-1,0,-1,0
22025,BRONZE,2259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,1,1,-1,-1,-1,0,0,1
2054,BRONZE,1841,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,-1,-1
7852,BRONZE,3041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,1,-1,1,0,-1,0,1,1
8777,BRONZE,1654,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1,-1,-1,1,0,-1,0,1,1
7883,BRONZE,1566,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,0,1,0,1,1
9987,BRONZE,1892,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,-1,1,-1,1,-1,-1,0,-1,1
12619,BRONZE,1917,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1,1,-1,0,-1,0,-1,1
31306,BRONZE,1997,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,-1,-1,-1,-1,0,1,0,0,1
717,BRONZE,1440,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
4451,BRONZE,1590,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1,-1,0,-1,0,-1,1
11656,BRONZE,1557,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,-1,1
177,BRONZE,1892,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,-1,-1
15384,BRONZE,2374,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
4627,BRONZE,1837,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,0,0,0,0,-1
8287,BRONZE,1969,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,1,1,0,-1,-1
4813,BRONZE,2364,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1,-1,-1,-1,0,-1,1
10482,BRONZE,2248,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1,-1,-1,-1,1,1,0,1,0
4407,BRONZE,2047,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0,-1,-1,-1,0,1,0,0,0
11842,BRONZE,1904,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1,-1,-1,-1,-1,-1,0,1,1
7553,BRONZE,1879,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,-1,1,-1,0,1,0,0,-1
1190,BRONZE,2127,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,1,-1,0,0,0,1,0
23639,BRONZE,1438,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,-1,0,-1,0,1,1
20057,BRONZE,1266,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1,1,1,1,-1,-1,0,1,-1
30895,BRONZE,1540,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,0
26154,BRONZE,2054,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,1,1,1,1,1,0,1,-1
17641,BRONZE,1438,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,-1,1
10259,BRONZE,2407,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1,-1,1,-1,0,1,0,0,1
13301,BRONZE,1901,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,-1,0
19093,BRONZE,1918,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0,1,-1,-1,-1,-1,0,1,1
15221,BRONZE,1264,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
