,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
3350,BRONZE,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,-1,-1,1,-1,-1,0,0,1,0
519,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,-1,1
2274,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1,1,1,1,0,0,1,1
1007,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1,1,1,-1,0,1,0,0,1,0
1855,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1,1,-1,1,1,1,0,0,-1,0
2172,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,0
3983,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1,1,-1,-1,0,0,0,0,-1,1
515,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
1507,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1,-1,1,-1,1,0,0,0,1,1
106,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
37,BRONZE,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
1096,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,-1,1,1,1,1,0,1,1
4070,BRONZE,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1,-1,1,1,1,0,0,1,-1
299,BRONZE,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,-1,1,0,1,1
3335,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,0,0,-1,-1,-1
4481,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
4229,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0,-1,-1,1,1,-1,0,-1,1,1
3670,BRONZE,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-1,-1,-1,-1,1,-1,0,0,-1,1
4375,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,-1,1,-1,-1,1,0,0,0,-1
4457,BRONZE,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1,-1,1,1,1,0,0,0,-1
3572,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1,1,1,1,1,1,0,0,0,-1
1724,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
4129,BRONZE,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1,1,-1,1,1,0,0,1,1
1577,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,1,0
1916,BRONZE,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1,1,-1,1,1,0,0,-1,1
470,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
2370,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,-1,-1,-1,-1,1,0,0,-1,1
361,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0,1,1,1,1,1,0,0,1,1
2665,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,1,-1,1,1,-1,0,0,-1,1
2493,BRONZE,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
1619,BRONZE,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1,1,1,1,-1,0,0,1,-1
75,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,0,0,-1
4030,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,1,0,0,1,-1
3263,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,-1
2064,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1,-1,-1,-1,-1,0,0,0,-1,-1
665,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1741,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,0,-1,0,-1,-1
3858,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
2005,BRONZE,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1,1,1,1,1,-1,0,0,1,-1
937,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,0,0,1,1
2036,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,-1,1,1,1,1,0,1,1
4867,BRONZE,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1,-1,1,1,-1,1,0,0,1,0
1472,BRONZE,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,1,-1,1,0,1,0
233,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
24,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,0
3447,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1,-1,1,-1,1,-1,0,0,1,1
1465,BRONZE,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,1,1,-1,1,-1,0,1,-1,-1
1173,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2086,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
3265,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,-1,1,1,0,0,1,1
517,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
3957,BRONZE,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,0,-1,1
1245,BRONZE,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
904,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
778,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,1,1,1,0,0,1
4724,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
3381,BRONZE,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1,1,-1,-1,1,-1,0,0,0,0
3816,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1,1,1,-1,-1,-1,0,0,1,-1
1881,BRONZE,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1,1,1,1,-1,1,0,0,1,0
3224,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2742,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1,1,1,1,1,1,0,0,1,1
4744,BRONZE,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,1,0,0,-1,-1
4283,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,-1,0,0,0,0,-1
1982,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1,1,1,1,0,1,0,0,1,0
4407,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,-1,1,1,0,0,1,-1
988,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,-1
3234,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1,-1,-1,1,0,0,-1,1
3740,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1,-1,-1,1,0,0,1,-1
3615,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,1,-1,1,1,0,0,-1,0
4142,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
2338,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,1,-1,0,0,-1,1
2472,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0,1,-1,1,-1,-1,0,0,1,-1
1963,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,-1,1,1,1,0,1,0
3899,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1,1,1,-1,1,-1,0,0,-1,1
