,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
2831,BRONZE,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1,4105,42,13155,3,5,0,2,1,0
5398,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,23,13035,152,4445,3,6,0,3,-1,0
17421,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,3512,51,11180,4,6,0,0,2,0
3659,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-11,-5023,-42,-8065,-5,-1,-1,-3,0,0
21263,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-7,-3296,-74,-10190,2,-2,0,1,2,0
1121,BRONZE,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,7,5515,73,15394,6,4,1,1,2,-1
3739,BRONZE,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-13,-4839,39,-24006,-2,-2,0,-3,0,0
593,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-14,-10827,-112,-9634,-3,-6,0,-4,-2,-1
8214,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,6,90,-15,-15816,0,3,0,-1,-1,0
2482,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-12,-13315,-190,-16463,-7,-7,0,-1,-2,-1
22444,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,7976,160,9138,6,10,0,3,2,0
17756,BRONZE,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0,-5380,-44,7465,3,1,0,1,0,-1
11976,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2,-3811,-15,13153,-5,-7,0,0,-2,0
4627,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,16,9374,133,-976,7,3,1,-1,1,0
11489,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,10,1888,-80,-11252,1,2,0,1,-1,0
4114,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3,-64,105,-15210,0,-1,0,-1,-1,0
4258,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,6,7924,-22,3903,6,6,0,0,1,1
5270,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-12,-5414,-26,10003,-4,1,0,-1,-1,0
7443,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,4354,20,-8126,4,0,0,1,2,0
978,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7,-3067,-44,-279,-5,-6,-1,-3,-1,0
9782,BRONZE,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1,2775,25,10755,3,-1,0,-1,0,0
15559,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-10,-7206,-60,-20691,0,5,0,-1,0,0
18220,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,7269,95,10623,3,4,0,4,1,0
6385,BRONZE,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-2,-6123,-52,-10946,-5,-1,-1,-3,0,0
16050,BRONZE,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-19,-6697,6,-16788,-5,1,0,-1,0,0
398,BRONZE,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,5,2813,71,90,0,0,0,3,1,0
4008,BRONZE,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,10,6016,26,5248,3,2,0,1,-2,0
9925,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,12,-39,-1364,1,3,0,-1,-2,0
6911,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-20,-13233,-115,-25554,-4,-6,0,-1,-1,0
9863,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,16362,202,15423,10,12,1,3,2,1
10815,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,15,4329,-8,4713,0,-8,0,1,-1,0
22002,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-10,-10107,-85,-12929,-6,0,0,-1,-1,0
2259,BRONZE,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-6,-4552,-44,-21771,-3,-5,0,2,-1,0
697,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-14,-5071,-58,-7158,0,2,0,-1,1,0
8638,BRONZE,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,2714,72,11129,-1,-1,0,2,-1,0
2124,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-9,-3858,61,-1691,-2,1,0,-3,-2,0
23062,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,18,13800,222,20595,7,7,0,3,-2,0
2661,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-5,-2299,-9,-16643,0,3,0,-3,1,0
11509,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-4070,13,10740,-2,-3,0,1,-2,0
1620,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,21,12004,70,31696,5,5,0,3,1,1
21487,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,-7,2379,64,11209,1,8,0,0,2,0
9386,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7,10401,183,15740,3,8,0,3,0,0
9154,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-12,-12667,-145,-6093,-8,-5,-3,-3,-2,-1
20333,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,18,11529,143,29156,7,6,2,3,-1,0
10556,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,11,10053,3,21837,6,5,1,3,2,1
9431,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-10,-9116,-60,-7146,-2,-4,0,0,-1,0
909,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1152,-82,-793,-4,-2,0,-1,0,0
3171,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-4,4661,114,6216,2,6,0,0,2,0
1455,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-4,-6412,-47,-21915,-4,-3,-1,-1,1,0
6749,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9,9535,216,22532,7,11,1,3,1,0
7455,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,15,11665,127,37955,7,7,2,1,1,0
11389,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,21,10535,87,17295,4,4,1,2,1,0
24460,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-9,492,160,982,2,4,0,1,-1,0
4339,BRONZE,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1,4467,87,7659,2,0,0,1,0,0
2494,BRONZE,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,8,2034,26,20,2,1,0,-3,0,0
4417,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-10,-7062,-97,-7328,-6,-4,0,1,0,0
