,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
3884,BRONZE,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
2107,BRONZE,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1,-1,-1,-1,-1,1,0,0,-1,0
3174,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
4465,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,-1,1,-1,-1,0,0,1,-1
1132,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1,1,-1,-1,0,0,-1,-1,1
2155,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
2978,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,1,1,1,0,0,0,0,-1,0
2321,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,1,1,-1,0,0,0,-1,-1
1364,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,-1,-1,0,0,-1,-1
178,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,-1,-1,-1,0,-1,-1,-1
3837,BRONZE,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,1,1,-1,-1,1,-1,1,1,-1
3529,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1,0,0,-1,0
2430,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
4135,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,-1,1,1,0,0,1,1
1635,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
3947,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
4739,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1,1,-1,1,1,1,0,0,1,0
2171,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
611,BRONZE,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,1,1,1,1,1,0,0,0,-1
1040,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1,-1,-1,-1,1,0,0,1,1
3359,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,0,1,0,0,1,1
