tournament_slug,game_id,match_id,patch,starting_time,game_number,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
eu_masters_summer_2020,104727755403949063,104727755403949062,10.16,2020-08-27 19:39:40,1,MRS,SSU,,23949,0,1,0,4,1,467,24506,0,2,0,2,1,464
eu_masters_summer_2020,104727755403949061,104727755403949060,10.16,2020-08-27 20:33:20,1,GL,RGO,RGO,23014,0,1,0,2,1,474,23388,0,0,0,4,1,486
eu_masters_summer_2020,104727755403949077,104727755403949076,10.16,2020-09-09 15:58:30,1,GL,MRS,GL,25060,0,1,0,7,1,467,22989,0,0,0,5,0,452
eu_masters_summer_2020,104727755403949071,104727755403949070,10.16,2020-09-09 16:54:20,1,SSU,RGO,,20086,0,0,0,1,1,449,23564,0,0,0,4,1,496
eu_masters_summer_2020,104727755403949069,104727755403949068,10.16,2020-09-09 17:44:30,1,MRS,RGO,RGO,22616,0,0,0,2,1,487,23390,0,0,0,5,1,467
eu_masters_summer_2020,104727755403949079,104727755403949078,10.16,2020-09-09 18:34:00,1,GL,SSU,,26995,0,1,0,9,0,530,23486,0,0,0,4,1,481
eu_masters_summer_2020,104727755403949075,104727755403949074,10.16,2020-09-09 19:19:20,1,SSU,MRS,,16737,0,0,0,0,0,376,18001,0,0,0,4,1,338
eu_masters_summer_2020,104727755403949073,104727755403949072,10.16,2020-09-09 20:15:20,1,RGO,GL,GL,9194,0,0,0,1,0,174,8413,0,0,0,0,0,164
eu_masters_summer_2020,104727755403949053,104727755403949052,10.16,2020-09-10 15:57:10,1,LDLC,S04E,LDLC,24101,0,1,0,3,0,492,22855,0,0,0,3,2,459
eu_masters_summer_2020,104727755403949047,104727755403949046,10.16,2020-09-10 16:51:20,1,SMS,K1,,22010,0,0,0,3,0,459,26568,0,2,0,3,2,538
eu_masters_summer_2020,104727755403949055,104727755403949054,10.16,2020-09-10 17:43:50,1,LDLC,SMS,LDLC,25453,0,1,0,3,0,533,23020,0,0,0,1,2,535
eu_masters_summer_2020,104727755403949045,104727755403949044,10.16,2020-09-10 18:38:20,1,K1,S04E,,10047,0,0,0,1,1,181,10724,0,0,0,2,0,200
eu_masters_summer_2020,104727755403949051,104727755403949050,10.16,2020-09-10 19:39:30,1,S04E,SMS,SMS,20305,0,0,0,1,0,442,25049,0,1,0,3,2,498
eu_masters_summer_2020,104727755403949049,104727755403949048,10.16,2020-09-10 20:34:40,1,K1,LDLC,,23129,0,0,0,4,0,467,27465,0,2,0,9,2,496
eu_masters_summer_2020,104727755403949101,104727755403949100,10.16,2020-09-11 15:56:30,1,WLG,MSFP,MSFP,19411,0,0,0,3,1,376,23151,0,1,0,7,1,413
eu_masters_summer_2020,104727755403949095,104727755403949094,10.16,2020-09-11 17:04:00,1,PT7,VGIA,VGIA,20648,0,0,0,1,0,434,21474,0,1,0,1,2,456
eu_masters_summer_2020,104727755403949099,104727755403949098,10.16,2020-09-11 17:53:20,1,MSFP,VGIA,VGIA,16109,0,0,0,0,0,369,16856,0,0,0,0,1,387
eu_masters_summer_2020,104727755403949097,104727755403949096,10.16,2020-09-11 18:59:00,1,PT7,WLG,PT7,23636,0,1,0,6,0,419,20189,0,0,0,1,2,459
eu_masters_summer_2020,104727755403949093,104727755403949092,10.16,2020-09-11 19:56:20,1,MSFP,PT7,PT7,22644,0,0,0,2,2,491,21979,0,0,0,4,0,453
